Episode,Success,Steps,Reward,PathDistance
8,0,0,0,0
8,0,0,0,0
8,0,0,0,0
6,0,132,-3.026404,32.41396
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
6,0,187,-4.037362,35.26679
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
7,0,0,0,0
7,0,155,-1.031005,35.39206
8,0,0,0,0
3,0,182,-0.03639995,37.66071
8,0,139,-2.027805,32.65525
9,0,0,0,0
9,0,0,0,0
5,0,132,-1.026404,32.52325
5,0,208,-0.04159994,39.06964
6,0,130,-1.026004,32.96065
4,0,217,-1.543407,41.30375
5,0,0,0,0
5,0,0,0,0
6,0,190,-1.038006,37.86977
6,0,211,-0.04219994,35.2632
7,0,0,0,0
7,0,0,0,0
4,0,340,-0.068,48.75944
4,0,155,-0.03099996,33.13837
8,0,225,-3.544972,42.39848
9,0,0,0,0
9,0,0,0,0
9,0,0,0,0
9,0,0,0,0
5,0,302,-0.5604049,44.17728
6,0,0,0,0
5,0,379,0.4241993,57.36014
6,0,140,-0.02799997,35.33881
7,0,136,-0.02719997,33.01297
7,0,286,-2.557209,46.19918
5,0,159,-2.031805,34.91044
8,0,0,0,0
8,0,0,0,0
6,0,0,0,0
6,0,0,0,0
8,0,0,0,0
6,0,212,-0.04239994,40.57267
8,0,267,-0.553403,43.84178
9,0,0,0,0
7,0,123,-2.024604,31.94817
8,0,0,0,0
8,0,0,0,0
5,0,119,-0.02379997,32.42361
5,0,135,-0.02699997,32.26774
5,0,615,-4.122874,83.43178
